CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
184579,4602555084 hmm,Bengali,34048,273922,0,0,1.0,134.0,0.0,hmm,hmm
184580,premdevi1908 gmgkkn.,Bengali,22835,852312,0,0,0.0,27.0,0.0,premdevi gmgkkn,Premi Gangakan
184582,15654738401 kono bolo,Bengali,7073,273922,0,0,1.0,134.0,0.0,kono bolo,Kono was
184583,koster fol valo hoyna,Bengali,7106,102820,0,0,1.0,30.0,0.0,koster fol valo hoyna,The result of suffering is not good
184584,2002 sal,Bengali,13928,78531,0,0,1.0,574.0,0.0,sal,shall
184585," ""a khanki?""",Bengali,21276,253053,0,1,0.0,139.0,1.0,a khanki,A Khanki
184586,ai director lawra,Bengali,32989,870005,0,0,0.0,39.0,1.0,ai director lawra,You have Lawra
184587,77011744001 please follow me,Bengali,32861,894266,0,1,0.0,372.0,0.0,please follow me,please follow me
184588,nice ,Bengali,33823,41696,0,1,0.0,27.0,0.0,nice,nice
184589,subashdolai ,Bengali,13508,464051,0,0,1.0,139.0,0.0,subashdolai,Subhashdolai
184590,tomar no ta dao shikhiye debo ami,Bengali,35923,810185,0,0,1.0,160.0,0.0,tomar no ta dao shikhiye debo ami,"Give it, I will teach me"
184591,xxxx ,Bengali,40396,921980,0,2,0.0,859.0,1.0,xxxx,xxxx
184592,suchitra7225 haa ,Bengali,13508,171504,0,0,0.0,43.0,0.0,suchitra haa,Suchitra Yes
184593,tumar fb ki name a6a,Bengali,8554,1066227,0,0,1.0,88.0,0.0,tumar fb ki name aa,Your fob is what name
184594,your  acting is nice,Bengali,8741,1085332,0,1,0.0,959.0,0.0,your acting is nice,your acting is nice
184595,         .      nilanjana_00  ,Bengali,11935,960929,0,0,0.0,84.0,0.0,nilanjana,Nilanjana
184597,ki bolbo,Bengali,599,715487,0,0,0.0,63.0,0.0,ki bolbo,What to say
184598,ghar ma koi ha kya.. moj khulna sa saram ayaga ghar bala ko.. ku korta ho,Bengali,6780,536990,0,0,0.0,132.0,1.0,ghar ma koi ha kya moj khulna sa saram ayaga ghar bala ko ku korta ho,There is no one in the house.
184599,15654738401 hm divai amar uporer cheleta to ,Bengali,6353,273922,0,0,1.0,134.0,0.0,hm divai amar uporer cheleta to,Ham Devio is my upper boy
184600,ami to jene 6ilam meye 6oto 6oto poshak pore tai tader k rape kora hoi.  but ai 3yrs ar bonu tar jama o ki 6oto 6ilo . chi . jara  eai dhoroner kharap kaj kore tader to fashi deoa uchit ,Bengali,30560,527707,0,0,0.0,365.0,1.0,ami to jene ilam meye oto oto poshak pore tai tader k rape kora hoi but ai yrs ar bonu tar jama o ki oto ilo chi jara eai dhoroner kharap kaj kore tader to fashi deoa uchit,Ami to Jene Ilam Meye Oto Oto Poshak Pore Tai Tader K Rape Kora Hoi But Ai Yrs ar Bonu Tar Jama O Ki Oto Ilo Chi Jara Eai Dhoroner Kharap Kaj Kore Tader to Fashi Deoa Uchit
184601,right ak dom,Bengali,8329,847853,0,15,0.0,854.0,0.0,right ak dom,Right If Dom
184602,toi na ki,Bengali,22065,986419,0,0,1.0,70.0,0.0,toi na ki,he on ki
184603,black madarboard,Bengali,24490,505163,0,2,0.0,203.0,1.0,black madarboard,black madarboard
184604,you area supper,Bengali,22843,146806,0,0,0.0,110.0,0.0,you area supper,you area supper
184607,khub sundor lagcha tomak,Bengali,33675,383355,0,0,0.0,36.0,0.0,khub sundor lagcha tomak,It's very nice
184608,puro khule video korte partis hebby lagto khanki ,Bengali,30979,471217,0,14,0.0,5983.0,1.0,puro khule video korte partis hebby lagto khanki,Part of the video to open the video whole
184609,13981070801shayan hm,Bengali,28943,507501,0,1,2.0,311.0,0.0,shayan hm,Shen are
184610,chadni ki hasin murat ho sab hasino se khub surat ho chad ko deak na tera didar hai/good morning,Bengali,33664,855106,0,2,0.0,1539.0,0.0,chadni ki hasin murat ho sab hasino se khub surat ho chad ko deak na tera didar haigood morning,I'm sorry to be happy with all the honeymoon of the moon
184612,mutki bolte sekho sotti osm ,Bengali,24038,687035,0,0,1.0,60.0,0.0,mutki bolte sekho sotti osm,Sheikh
184615,a sale lok morega nehi,Bengali,33605,973790,0,2,0.0,2687.0,1.0,a sale lok morega nehi,Cell folk moraga
184616,etan' payer  bhie  wow,Bengali,19550,388905,0,0,0.0,65.0,0.0,etan payer bhie wow,And the foot VA wife
